filename,movement,subject,episode,label,dimensionless_jerk,duration_s,mean_acceleration_mm_s2,mean_jerk_mm_s3,mean_velocity_mm_s,n_frames,peak_acceleration_mm_s2,peak_jerk_mm_s3,peak_velocity_mm_s,range_x_mm,range_y_mm,range_z_mm,rms_jerk_mm_s3,sparc,std_jerk_mm_s3,std_velocity_mm_s,velocity_x_mean,velocity_y_mean,velocity_z_mean
m07_s01_e01_positions_inc.txt.gz,m07,s01,e01,1,-7.960661,1.910000,3489.843577,24782.902477,849.454080,191,7133.974253,149419.159281,1615.032554,69.538435,384.654541,652.452670,32754.180525,-2.603824,21415.977369,428.194649,-31.070377,-25.932301,-2.804419
m07_s01_e02_positions_inc.txt.gz,m07,s01,e02,1,-7.856240,2.120000,3135.799315,20968.906031,767.224962,212,5708.237015,66217.651027,1471.604545,29.692873,358.302796,662.823008,24224.132228,-2.682926,12129.037970,430.269513,5.155415,2.565646,-3.255173
m07_s01_e03_positions_inc.txt.gz,m07,s01,e03,1,-8.265471,2.050000,4041.016696,29690.123604,969.946384,205,7640.916984,149853.106369,1818.621391,40.558636,344.479181,845.037507,38630.982218,-2.876303,24715.366626,500.348825,0.728679,-7.748678,6.193606
m07_s01_e04_positions_inc.txt.gz,m07,s01,e04,1,-8.422849,2.040000,4897.698872,34834.082551,1113.415007,204,10204.379013,213396.243511,1936.088403,97.638973,296.268365,953.457669,44820.678127,-2.834775,28204.252881,543.989263,-5.249641,-0.866559,8.600320
m07_s01_e05_positions_inc.txt.gz,m07,s01,e05,1,-8.688537,2.190000,4824.160089,38039.437328,1062.377715,219,10038.218243,175608.738288,2039.464888,148.737514,297.329154,934.580418,48477.684428,-3.022452,30051.407542,563.239780,9.131983,15.978007,-2.253735
m07_s01_e06_positions_inc.txt.gz,m07,s01,e06,1,-8.630562,2.170000,4984.770905,37810.858102,1097.116041,217,8652.483180,184594.299676,1955.336866,151.836041,316.978281,960.118183,45775.680454,-2.940876,25802.169106,570.987844,2.645189,8.905236,-7.780020
m07_s01_e07_positions_inc.txt.gz,m07,s01,e07,1,-8.973308,2.260000,7012.828673,60647.371876,1365.838013,226,14301.116122,173584.807242,2801.631422,123.238214,613.831892,1057.854360,73244.900184,-2.869830,41069.595657,776.188445,-12.322707,-1.298974,-8.986871
m07_s01_e08_positions_inc.txt.gz,m07,s01,e08,1,-8.954883,2.210000,7109.694792,58248.791041,1386.702575,221,13220.206193,178943.321983,2707.265122,61.772553,589.993018,1074.338906,72522.139055,-2.962856,43203.460457,753.349017,14.994822,2.779104,3.162287
m07_s01_e09_positions_inc.txt.gz,m07,s01,e09,1,-9.021550,2.210000,6955.493530,57884.627176,1350.190313,221,12670.731012,212872.322548,2523.705044,101.801766,564.036307,1069.921597,69896.403701,-3.041786,39177.508688,751.043870,-13.015112,-3.109158,-7.462495
m07_s01_e10_positions_inc.txt.gz,m07,s01,e10,1,-9.030799,2.250000,7099.174710,59074.738316,1403.286062,225,13942.129138,171612.091482,2670.268958,88.030094,607.830463,1072.884275,72325.973116,-3.006467,41727.948430,740.925137,-3.626903,16.814505,0.641761
